left,right,gold_label,predicted_label,confidence
men_047777136d153155,men_2affff13e0d6f845,different_incident,no_candidate_decision,
men_047777136d153155,men_35221c25a4ae7a71,different_incident,different_incident,0.95
men_047777136d153155,men_37977261b478b3c4,different_incident,no_candidate_decision,
men_047777136d153155,men_3b165ec9c80664fb,different_incident,different_incident,0.95
men_047777136d153155,men_3df0367527a772a9,different_incident,different_incident,0.95
men_047777136d153155,men_417bcdcfda26dbb4,different_incident,different_incident,0.95
men_047777136d153155,men_420324e66c294e32,different_incident,no_candidate_decision,
men_047777136d153155,men_48845e87897e3f69,different_incident,different_incident,0.95
men_047777136d153155,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_047777136d153155,men_6820b78d82593f2c,different_incident,different_incident,0.95
men_047777136d153155,men_6d0cf2cea1670792,different_incident,different_incident,0.95
men_047777136d153155,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_047777136d153155,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_047777136d153155,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_047777136d153155,men_d549f45a52ba834c,different_incident,no_candidate_decision,
men_047777136d153155,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
men_2affff13e0d6f845,men_35221c25a4ae7a71,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_37977261b478b3c4,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_3b165ec9c80664fb,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_3df0367527a772a9,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_417bcdcfda26dbb4,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_420324e66c294e32,same_incident,same_incident,0.68
men_2affff13e0d6f845,men_48845e87897e3f69,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_6820b78d82593f2c,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_6d0cf2cea1670792,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_7ed9b9512fc6ad2b,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_b5c461f657a8f51f,same_incident,same_incident,0.74
men_2affff13e0d6f845,men_c25ba046b55b709d,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_d549f45a52ba834c,different_incident,no_candidate_decision,
men_2affff13e0d6f845,men_ed0878d035a5a6ee,different_incident,no_candidate_decision,
men_35221c25a4ae7a71,men_37977261b478b3c4,different_incident,no_candidate_decision,
men_35221c25a4ae7a71,men_3b165ec9c80664fb,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_3df0367527a772a9,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_417bcdcfda26dbb4,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_420324e66c294e32,different_incident,no_candidate_decision,
men_35221c25a4ae7a71,men_48845e87897e3f69,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_63368cf8e497c57d,same_incident,no_candidate_decision,
men_35221c25a4ae7a71,men_6820b78d82593f2c,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_6d0cf2cea1670792,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_7ed9b9512fc6ad2b,same_incident,same_incident,0.85
men_35221c25a4ae7a71,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_c25ba046b55b709d,same_incident,same_incident,0.85
men_35221c25a4ae7a71,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_35221c25a4ae7a71,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
men_37977261b478b3c4,men_3b165ec9c80664fb,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_3df0367527a772a9,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_417bcdcfda26dbb4,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_420324e66c294e32,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_48845e87897e3f69,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_63368cf8e497c57d,different_incident,uncertain,0.35
men_37977261b478b3c4,men_6820b78d82593f2c,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_6d0cf2cea1670792,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_7ed9b9512fc6ad2b,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_b5c461f657a8f51f,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_c25ba046b55b709d,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_d549f45a52ba834c,different_incident,no_candidate_decision,
men_37977261b478b3c4,men_ed0878d035a5a6ee,different_incident,no_candidate_decision,
men_3b165ec9c80664fb,men_3df0367527a772a9,same_incident,same_incident,0.62
men_3b165ec9c80664fb,men_417bcdcfda26dbb4,same_incident,same_incident,0.85
men_3b165ec9c80664fb,men_420324e66c294e32,different_incident,no_candidate_decision,
men_3b165ec9c80664fb,men_48845e87897e3f69,same_incident,same_incident,0.9
men_3b165ec9c80664fb,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_3b165ec9c80664fb,men_6820b78d82593f2c,different_incident,different_incident,0.95
men_3b165ec9c80664fb,men_6d0cf2cea1670792,same_incident,same_incident,0.8
men_3b165ec9c80664fb,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_3b165ec9c80664fb,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_3b165ec9c80664fb,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_3b165ec9c80664fb,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_3b165ec9c80664fb,men_ed0878d035a5a6ee,same_incident,same_incident,0.74
men_3df0367527a772a9,men_417bcdcfda26dbb4,same_incident,same_incident,0.85
men_3df0367527a772a9,men_420324e66c294e32,different_incident,no_candidate_decision,
men_3df0367527a772a9,men_48845e87897e3f69,same_incident,same_incident,0.7
men_3df0367527a772a9,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_3df0367527a772a9,men_6820b78d82593f2c,different_incident,different_incident,0.95
men_3df0367527a772a9,men_6d0cf2cea1670792,same_incident,same_incident,0.9
men_3df0367527a772a9,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_3df0367527a772a9,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_3df0367527a772a9,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_3df0367527a772a9,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_3df0367527a772a9,men_ed0878d035a5a6ee,same_incident,same_incident,0.75
men_417bcdcfda26dbb4,men_420324e66c294e32,different_incident,no_candidate_decision,
men_417bcdcfda26dbb4,men_48845e87897e3f69,same_incident,same_incident,0.8
men_417bcdcfda26dbb4,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_417bcdcfda26dbb4,men_6820b78d82593f2c,different_incident,different_incident,0.95
men_417bcdcfda26dbb4,men_6d0cf2cea1670792,same_incident,same_incident,0.85
men_417bcdcfda26dbb4,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_417bcdcfda26dbb4,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_417bcdcfda26dbb4,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_417bcdcfda26dbb4,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_417bcdcfda26dbb4,men_ed0878d035a5a6ee,same_incident,same_incident,0.85
men_420324e66c294e32,men_48845e87897e3f69,different_incident,no_candidate_decision,
men_420324e66c294e32,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_420324e66c294e32,men_6820b78d82593f2c,different_incident,no_candidate_decision,
men_420324e66c294e32,men_6d0cf2cea1670792,different_incident,no_candidate_decision,
men_420324e66c294e32,men_7ed9b9512fc6ad2b,different_incident,no_candidate_decision,
men_420324e66c294e32,men_b5c461f657a8f51f,same_incident,same_incident,0.72
men_420324e66c294e32,men_c25ba046b55b709d,different_incident,no_candidate_decision,
men_420324e66c294e32,men_d549f45a52ba834c,different_incident,no_candidate_decision,
men_420324e66c294e32,men_ed0878d035a5a6ee,different_incident,no_candidate_decision,
men_48845e87897e3f69,men_63368cf8e497c57d,different_incident,no_candidate_decision,
men_48845e87897e3f69,men_6820b78d82593f2c,different_incident,different_incident,0.95
men_48845e87897e3f69,men_6d0cf2cea1670792,same_incident,same_incident,0.8
men_48845e87897e3f69,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_48845e87897e3f69,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_48845e87897e3f69,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_48845e87897e3f69,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_48845e87897e3f69,men_ed0878d035a5a6ee,same_incident,same_incident,0.6
men_63368cf8e497c57d,men_6820b78d82593f2c,different_incident,no_candidate_decision,
men_63368cf8e497c57d,men_6d0cf2cea1670792,different_incident,no_candidate_decision,
men_63368cf8e497c57d,men_7ed9b9512fc6ad2b,same_incident,no_candidate_decision,
men_63368cf8e497c57d,men_b5c461f657a8f51f,different_incident,no_candidate_decision,
men_63368cf8e497c57d,men_c25ba046b55b709d,same_incident,no_candidate_decision,
men_63368cf8e497c57d,men_d549f45a52ba834c,different_incident,no_candidate_decision,
men_63368cf8e497c57d,men_ed0878d035a5a6ee,different_incident,no_candidate_decision,
men_6820b78d82593f2c,men_6d0cf2cea1670792,different_incident,different_incident,0.95
men_6820b78d82593f2c,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_6820b78d82593f2c,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_6820b78d82593f2c,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_6820b78d82593f2c,men_d549f45a52ba834c,same_incident,same_incident,0.6
men_6820b78d82593f2c,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
men_6d0cf2cea1670792,men_7ed9b9512fc6ad2b,different_incident,different_incident,0.95
men_6d0cf2cea1670792,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_6d0cf2cea1670792,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_6d0cf2cea1670792,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_6d0cf2cea1670792,men_ed0878d035a5a6ee,same_incident,same_incident,0.85
men_7ed9b9512fc6ad2b,men_b5c461f657a8f51f,different_incident,different_incident,0.95
men_7ed9b9512fc6ad2b,men_c25ba046b55b709d,same_incident,same_incident,0.85
men_7ed9b9512fc6ad2b,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_7ed9b9512fc6ad2b,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
men_b5c461f657a8f51f,men_c25ba046b55b709d,different_incident,different_incident,0.95
men_b5c461f657a8f51f,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_b5c461f657a8f51f,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
men_c25ba046b55b709d,men_d549f45a52ba834c,different_incident,different_incident,0.95
men_c25ba046b55b709d,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
men_d549f45a52ba834c,men_ed0878d035a5a6ee,different_incident,different_incident,0.95
